id,famille origine,id-base,planet,people,prosperity,recommandation,criteres,justifications,etape cycle de vie,test 1.1.1,test 1.1.2,test 1.1.3,correspondance,lien,type,difficulté de mise en oeuvre,objectif odd couverts par la recommandation,incontournables,tags opérationnel,acteurs,indicateurs,x indicateurs,y indicateurs,priorité,récurrence,use case,exemple,limites,automatisable,automatisation,automatisation level,automatisation informations
10,UX/UI,UX/UI-1.02,A,B,B,Intégrer le Numérique Responsable dans les objectifs majeurs du projet,La planète est-elle prise en compte dans les méthodes d'idéation pour intégrer la dimension écologique (planet centric design) ?,"Chaque décision de conception a un impact. Si les problématiques environnementales et écologiques ne sont pas au coeur de l'analyse, aucun objectif de maîtrise ou de réduction des impacts ne sera pris en compte et donc respecté.",Conception,Le toolkit planet centric est-il connu et utilisé ?,,, Planet Centric toolkit, https://planetcentricdesign.com/,RECO,***,,INCONTOURNABLE,#COM ;  #METH ;,Designer ; ProductOwner ;,(X / Y ) * 100,Formalisés = 100 ; prévus = 75 ; Identifiés = 50 ; Non = 0,100,High,OnUpdate,Une démarche systémique / Planet Centric est mise en place. ,,,,,,
11,UX/UI,UX/UI-1.03,B,B,A,Intégrer le Numérique Responsable dans les objectifs majeurs du projet,Les plus-values extra-financières du numérique responsable sont-elles valorisées dans le business model ?,Le Numérique Responsable (NR) peut-être considéré comme un réel vecteur de développement économique au sein de votre organisation. Intégrer la dimension NR de façon pérenne à votre business model permettra d'éviter des arbitrages permanents sur sa valorisation et son intégration à vos futurs projets.,Utilisation,"Les valeurs humaines, écologiques et économiques se retrouvent-elles dans le business model canvas et sont-elles validées par toutes les parties prenantes  ? ","Un ""Evidence planning"" est-il utilisé pour mettre en valeur les différents gains et coûts des 3P ? ",,"ND: voir les templates (naissants) de sustainable business canvas ?

Sl : Evidence planning","SL : https://www.designkit.org/methods/business-model-canvas


SL : https://diytoolkit.org/media/Evidence-Planning-A4.pdf",RECO,***,,INCONTOURNABLE,#COM ; #VALUE ; #FIN ;,ProjectMngr ; ProductOwner ; Manager ; ITMngr ;,(X / Y ) * 100,Formalisés = 100 ; prévus = 75 ; Identifiés = 50 ; Non = 0,100,High,Once,les analyses de bénéfices couvrent les aspects NR avec leurs retombées ,,,,,,
12,UX/UI,UX/UI-2.01,B,A,A,Sensibiliser les parties prenantes internes et externes au Numérique Responsable,Les parties prenantes sont-elles sensibilisées au NR ?,"Pour adhérer, il faut comprendre. Le NR n'est pas une discipline technique. Les principes du NR doivent être mis en oeuvre dans des pratiques métiers et les comportements de chacun des acteurs. Toutes les parties prenantes du projet doivent être sensibilisées au NR pour agir à leur niveau.",N/A,"Un partage de la connaissance et une sensibilisation vers les parties prenantes sont-ils en place ?
",Un support de sensibilisation adaptable aux différents projets et aux différents niveaux de connaissance de l'ensemble des parties prenantes est-il disponible ?,,"partage des référentiels NR
prévoir au planning du temps (et un budget ? ) de sensibilisation",,RECO,*,,INCONTOURNABLE,#COM ; #GOV ; #HR ;,RSE/NR ; HR ;,(X / Y ) * 100,Sensibilisations NR,Membre équipe,High,Periodic,Le plan de formation intègre les diffusions de sensibilisations et formations aux aspects NR.,,,,,,
13,UX/UI,UX/UI-3.05,A,A,B,Rendre disponible et accessible le service numérique au plus grand nombre d'utilisateurs,Une stratégie de compatibilité avec les terminaux et versions logicielles obsolètes est-elle définie ?,"Les avancées technologiques poussent à augmenter en permanence les exigences matérielles, ce qui réduit le parc de périphériques sur lesquels un service peut s'exécuter. Cet aspect écarte certains utilisateurs et pousse au renouvellement d'équipements encore en état de fonctionner avec l'impact environnemental associé.",Utilisation,"La liste des terminaux est-elle élargie aux terminaux cibles secondaires ? 

Existe-t-il des exigences particulières en terme d'expérience utilisateur (habitudes à une interface existante, à un terminal donné) ? ",Vos personae sont ils qualifiés au niveau des devices et OS associés?,"Est-ce que la démarche responsive et l'application de la démarche mobile first sont mises en oeuvre ?
",,,RECO,***,,INCONTOURNABLE,#PERF ; #USE ; #DEBT  ; #OBSO,Dev ; Designer ; ProductOwner ;,(X / Y ) * 100,Formalisés = 100 ; prévus = 75 ; Identifiés = 50 ; Non = 0,100,High,Periodic,Chaque élément référencé dans le Dossier Technique porte une information de degrés de compatibilité,,,Y,#SCRIPT,**,Outils simulateurs terminaux
14,UX/UI,UX/UI-4.01,C,A,A,"Permettre aux personnes en situation de handicap ou souffrant de déficiences, d'accéder et d'utiliser efficacement le service numérique","Dès la conception, le service répond-t-il aux normes d'accessibilité en vigueur (au minimum) ?","Au delà des aspects purement réglementaires, l'anticipation de la prise en compte de l'accessibilité est nécessaire pour assurer une couverture de ce sujet durant toute la durée de vie du service. Anticiper les futurs points de règlements et normes permet de pérenniser le service en limitant les besoins de mises à jour dictées par l'environnement légal. ",Conception,Quel est le niveau d'accessibilité visé et mesuré ?,Des personas représentatifs des différents handicaps et déficiences sont-ils présents ? ,"Des tests (contrastes, lisibilité, polices usabilité), effectués avec des outils ou des personnes en situation de handicap, sont-ils prévus ?


","Loi 2005
SL : Inclusive design Toolkit Univertsity of cambridge
SL Microsoft Inclusive design toolkit
Référentiel RGAA : niv.A, niv.AA et niv.AAA","http://www.inclusivedesigntoolkit.com/tools_simulation/

https://www.microsoft.com/design/inclusive/",RECO,**,,INCONTOURNABLE,#USE ; #VALUE ; #LEG,Dev ; Designer ; ProductOwner ;,(X / Y ) * 100,Formalisés = 100 ; prévus = 75 ; Identifiés = 50 ; Non = 0,100,High,OnUpdate,"Les aspects reglementaires et légaux sont exprimés, validés et partagés",,,,,,
15,UX/UI,UX/UI-5.C01,A,B,B,"""Less is More"" : Concentrez vous sur les fonctionnalités essentielles et simplifiez votre interface","Une sobriété visuelle est-elle mise en place, pour limiter les ressources énergétiques et l'impact sur la dégradation matérielle des composants visuels, sonores et tactiles constitutifs de l'interface ?","Des éléments/composants visuels, sonores et tactiles peuvent être mis en avant dans une démarche purement esthétique et/ou marketing mais n'ont que très peu d'intérêt pour l'utilisateur. La simplification de ces éléments apportera une meilleure ergonomie et un usage adapté à chacun ainsi qu'une réduction de l'impact énergétique.",Réalisation,"La charte graphique est-elle éco-compatible ?
La charte graphique respecte-t-elle les normes d'accessibilité ?
","Une liste d'impacts énergétiques a-t-elle été réalisée ? 
Des objectifs de réduction d'impact sont-ils mis en place et partagés avec toute l'équipe ?",Les designers en charge sont-ils formés au design visuel responsable ? ,,,CONSEIL,N/A,,INCONTOURNABLE,#USE ; #VALUE ;,Dev ; Designer ; ProductOwner ;,(X / Y ) * 100,Formalisés = 100 ; prévus = 75 ; Identifiés = 50 ; Non = 0,100,High,OnUpdate,Un module dark mode est systématiquement proposé,,,,,,
16,UX/UI,UX/UI-5.01,A,A,B,"""Less is More"" : Concentrez vous sur les fonctionnalités essentielles et simplifiez votre interface",Est-ce que les fonctionnalités sont utilisées par l'utilisateur ?,"Selon des études (cast software et standish group), 70% des fonctionnalités ne sont jamais ou rarement utilisées. (ref 115 bonnes pratiques)

Le nombre de fonctionnalités disponibles dans un service numérique impactent directement la consommation de ressources et l'impact environnemental, en créant des fonctionnalités de peu d'utilité. Ce sont des sources de création de dettes environnementales totalement inutiles. Les fonctionnalités augmentent aussi le volume du service, qui introduisent des délais de chargements, des espaces de stockage supplémentaires.",Utilisation,Les fonctionnalités proposées sont-elles attendues et utilisées par vos cibles et apportent-elles une réelle valeur à votre produit ?,Mesurer l'usage de chaque feature et limiter votre produit au juste besoin des utilisateurs,"Dans le respect des recommandations d'utilisation des outils de tracking, avez-vous mis en place des outils de suivi ?",- Méthode MoscoW,,RECO,**,,INCONTOURNABLE,#VOL ; #USE ; #VALUE ; #METH ;,Dev ; Designer ; ProductOwner ;,(X / Y ) * 100,Validations d'utilisation,Fonctionnalités,High,Periodic,Les parcours utilisateurs sont simulés et validés pour identifier les utilisations de fonctionnalités. Des données sont identifiées et collectées (analytics / sondes) en production.  ,,,,,,
17,UX/UI,UX/UI-8.02,A,B,A,"Ingénierie média : alléger au maximum les médias du service numérique ( images, animations, contenu ... )","Une politique de gestion/utilisation des médias afin de réduire leurs impacts est-elle en place, avec des critères de compression et de formats des médias ?
",Le volume de données transférées augmente l'empreinte environnementale du service. Il est nécessaire de proposer les médias nécessaires à l'affichage du service dans la compression idoine afin d'améliorer le service et augmenter sa sobriété. ,Réalisation,Une checklist de qualité environnementale des médias utilisés dans le service est-elle utilisée ?  ,L'automatisation de compression de tous les médias utilisés est-elle mise en place ? ,Une alternative à chaque média a-t-elle été proposée (remplacement d'une vidéo par une image ou du texte par ex.) ?,,,RECO,*,,INCONTOURNABLE,#PERF ; #VOL ; #USE ; #VALUE ; #METH,Dev ; Designer ;,(X / Y ) * 100,Media compressés,Supports media,High,OnUpdate,Les outils/consoles de développement et les extensions des navigateurs permettent de vérifier les bonnes pratiques (ex : CHROME - Extension greenIT / bonnes pratiques),,,Y,#SCRIPT,*,Outils parser code
18,UX/UI,UX/UI-8.03,A,B,B,"Ingénierie média : alléger au maximum les médias du service numérique ( images, animations, contenu ... )","Le nombre de polices de caractères (fonts) et les variantes de polices appelées (graisse, caractères utilisés dans le projet) sont-ils limités ?","Les polices de caractères peuvent être très volumineuses. En réduisant le nombre de polices uniquement à celles utilisées dans le service, la  volumétrie échangée diminue.",Conception,"Une typo système peut-elle être utilisée ? 
","Lorsqu'une typo externe est utilisée, son poids a-t-il été vérifié et existe-t-il une alternative plus légère ? 
","Le fichier typographique chargé est-il limité aux stricts caractères, langues et graisses utiles pour le service, la création d'une sub-font est-elle envisagée ?
Lors de l'intégration de polices propriétaires, les formats récents optimisés (par ex : WOTF2) sont-ils utilisés ?",,,RECO,*,,INCONTOURNABLE,#PERF ; #VOL ; #USE ; #VALUE ; #METH,Dev ; Designer ;,(X / Y ) * 100,Moins de 3 polices = 100 ; 3-5 polices = 50 ; Plus de 5 = 0,100,High,OnUpdate,Les outils/consoles de développement et les extensions des navigateurs permettent de vérifier les bonnes pratiques (ex : FIREFOX - console / alertes),,,Y,#SCRIPT,*,Outils parser code
19,UX/UI,UX/UI-10.01,A,B,A,"Valeur: concevez un Service Numérique éthique, en ligne avec vos valeurs",Le service évite-t-il les Dark Patterns ?,Certains services sont pensés pour créer une certaine forme de dépendance à celui-ci. L'utilisateur ne doit pas être soumis et exposé à certaines mécaniques de sur-consommation numérique.,Conception,La Force Continuity (perpétuation d'abonnement) peut-elle être bannie dans les services proposés ?,"Le principe de ""Friend spam"" est-il exclu ?","L'autoplay en continu des vidéos est-il désactivé par défaut  (Binge watching) ?
Aucune contre-partie n'est-elle demandée en feedback d'une action utilisateur ? 
La ""technique Privacy Zuckering"" afin de forcer l'utilisateur à partager publiquement des informations personnelles est-elle exclue ? Est-il possible de la supprimer ou à défaut, d'expliquer à l'utilisateur dans quel but elle est en place ?

",,,RECO,**,,INCONTOURNABLE,#USE ; #COM ; #VALUE ; #METH,Dev ; Designer ;  ProductOwner,(X / Y ) * 100,Formalisés = 100 ; prévus = 75 ; Identifiés = 50 ; Non = 0,100,High,OnUpdate,Réalisation d'une étude de captologie,,,Y,#SCRIPT,***,Outils parser code
20,UX/UI,UX/UI-10.03,B,A,A,"Valeur: concevez un Service Numérique éthique, en ligne avec vos valeurs",Des règles en matière de respect de l'utilisateur sont-elles mises en place ?  ,Certains services sont pensés pour créer une certaine forme de dépendance à celui-ci. L'utilisateur doit pouvoir rester objectivement juge de sa consommation numérique,Conception,Une charte éthique numérique est-elle définie ? ,"Un diagnostic du design attentionnel a-t-il été réalisé ? 
L'éthique du projet a-t-elle été testée auprès du référent juridique / éthique ? ","La Misdirection (manipulation, même visuelle, pour orienter les choix utilisateurs) est-elle pratiquée ?
L'usage des notifications est-il limité au strict nécessaire ?  ", Design attentionnel + Jeu Beurktionary par les Designers ethiques," Méthode de diagnostic du design attentionnel

beurk-design-agency
 Designers ethiques.org",RECO,***,,INCONTOURNABLE,#USE ; #COM ; #VALUE ;,Dev ; Designer ;  ProductOwner,(X / Y ) * 100,Formalisés = 100 ; prévus = 75 ; Identifiés = 50 ; Non = 0,100,Medium,OnUpdate,Réalisation d'une étude de captologie,,,,,,
21,CONTENUS,CTN-1.03,B,B,C,Appliquer une démarche éditoriale pour les contenus,"Les balises de mise en forme de texte répondent-elles au besoin de hiérarchisation des informations, et pas à des mises en valeur de présentation ?","Les automates et assistants d'accessibilité utilisent les balises pour se repérer et structurer la restitution. L'emploi de balises ne correspondant pas à la structure du contenu, par exemple pour des mises en forme de texte, rendent l'utilisation de ces assistants plus difficiles pour une bonne compréhension du contenu.",Réalisation,N'utilisez vous pas des balises H pour mettre en évidence du texte ? ,,,Critère RGAA 8.9,,RECO,*,,INCONTOURNABLE,#USE ; #COM ;,Dev ; Designer ;,(X / Y ) * 100,Tags analysés,Tags Hx,Medium,OnUpdate,L'analyse des codes sources permet de vérifier l'utilisation des balises HTML,,,,,,
22,CONTENUS,CTN-2.01,A,B,B,Réduire l'empreinte des contenus statiques,Est-ce  que les images ont été compressées en amont dans un format adapté pour sa visualisation ?,"La transmission de données compressées est indispensable pour réduire l'impact des échanges, en revanche les algorithmes de compression sont consommateurs de ressources techniques de traitement, de stockage intermédiaire. Lorsque les compressions sont effectuées à chaque demande d'échange, le bénéfice de la compression peut disparaître ou même augmenter l'impact.",Réalisation,Chaque image utilise-t-elle un format  standard du web et propose une alternative pour certains formats optimisés qui ne seraient pas disponibles sur tous les environnements ?,Chaque image utilise-t-elle un degré de compression adapté au rendu de l'image sur le service numérique ?,...,RGAA / norme ou certif (14062?),,RECO,*,,INCONTOURNABLE,#PERF ; #VOL ;  #USE ; #COM ; #VALUE ; #METH,Dev ; Designer ;,(X / Y ) * 100,Images compressées,Images,High,OnUpdate,Les outils/consoles de développement et les extensions des navigateurs permettent de vérifier les bonnes pratiques (ex : CHROME - Extension greenIT / bonnes pratiques),,,Y,#SCRIPT,*,Outils parser code
23,CONTENUS,CTN-3.05,A,B,B,"Eviter les contenus actifs, conserver les contenus dynamiques sous contrôle de l'utilisateur",Est-ce que l'information portée par la vidéo peut être remplacée par une alternative (infographie...),"Les informations apportées par la vidéo sont souvent transposables de manière à être proposées sous forme statique, nettement moins consommatrices de ressources.",Conception,"Combien de vidéos avez-vous transformé, par exemple en infographie qui réduit l'impact NR ?",La solution vidéo ou des alternatives ont-elle été évaluées du point de vue NR ?,,,,RECO,*,,INCONTOURNABLE,#PERF ; #VOL ;  #USE ; #COM ; #VALUE ; #METH,Dev ; Designer ;  ProductOwner,(X / Y ) * 100,Vidéos analysées,Vidéos,High,OnUpdate,Les vidéos portent des méta-datas permettant de valider la pertinence du contenu et de le restituer sous une autre forme ,,,,,,
24,CONTENUS,CTN-5.05,A,C,A,Assurer la liaison entre les contenus et usages,"Les documents à télécharger sont-ils compressés, optimisés et accessibles ?",Les documents disponibles pour l'utilisateur dans le service doivent être compressés pour réduire les impacts liés aux transferts de ces données.,Déploiement,Tous vos documents sont-ils compressés ?,Les tailles et  formats des fichiers sont-ils connus de l'utilisateur avant son opération de téléchargement ?,,PIDILA-443 / Opquast 108-109 / CF 115 bonnes pratiques d'écoconception (BP n°108 and 109),,RECO,*,,INCONTOURNABLE,#VOL ; #USE ; #METH,Dev ; Designer ;  ProductOwner,(X / Y ) * 100,Documents compressés,Documents disponibles,High,OnUpdate,"Les tests de navigation / parcours utilisateur couvrent les téléchargements, les outils de développement des navigateurs permettent de suivre les volumes de données (ex:  CHROME - network)",,,Y,#SCRIPT,**,Outils simulateurs
25,ARCHITECTURE,ARCH-2.03,A,B,A,Anticiper l'exploitation des services,"Est-ce que les environnements autres que production (DEV, QA, ...) sont éteints ou décommissionnés en dehors des plages d'usage (la nuit, en dehors des périodes de tests)?","En dehors de la production, qui peut avoir une exigence de disponibilité 24/7, les autres environnements (tests, intégration, recette) sont le plus souvent liés à des opérations humaines soumises à des plages horaires restreintes, voire à des périodes limitées. Lorsque les environnements ne sont pas utilisés, ils ne doivent pas être actifs afin de réduire les consommations énergétiques de ces configurations. Ils doivent être décommissionnés lorsqu'aucune utilisation ultérieure n'est envisagée sur une longue période.",Administration,Est-ce que l'infrastructure / l'application éteint les environnements non sollicités en permanence ?,Est-ce que l'application met en place de l'autoscaling pour ajuster à la baisse (ou à la hausse) le nombre d'instances du service (scalabilité horizontale) ?,,"Lien d'une étude qui statue que 30% des serveurs sont dans un état ""comateux""
https://www.anthesisgroup.com/wp-content/uploads/2019/11/Case-Study_DataSupports30PercentComatoseEstimate-FINAL_06032015.pdf
(Amaury)
",,RECO,*,,INCONTOURNABLE,#PERF ; #VOL ; #SEC ; #USE ;,Dev ; ProjectMngr ; ITMngr ;,(X / Y ) * 100,Formalisés = 100 ; prévus = 75 ; Identifiés = 50 ; Non = 0,100,Low,Periodic,Le dossier technique des équipements prend en compte les périodes d'utilisation et les règles d'extinction / décommissionnement.,,,Y,#PROCESS,***,Outils supervision
26,ARCHITECTURE,ARCH-7.02,B,B,B,"Associer les données, les flux, les applicatifs et la sécurité pour permettre leur identification et leur traçabilité","Chaque composant déployé est-il qualifié du point de vue de sa durée de vie, et les procédures de déprovisonnement sont-elles systématiquement exprimées ?","Toutes les ressources d'un composant doivent être gérées et une durée de vie, un processus de retrait doit être mis en place. Ces éléments doivent aussi prendre en compte les traitements récurrents (batch, CRON, ..), les données et les sauvegardes. Le maintien ou l'oubli sur des systèmes en production de composants inactifs est à la fois un gaspillage de ressources, mais aussi une fragilité dans la sécurité.",Fin de Vie,Quelle durée de vie est associée à chaque composant ?,Quelle est la fréquence de revue des données expirées ?,,,,RECO,*,,INCONTOURNABLE,#PERF ; #VOL ; #SEC ; #USE ; #MAINT ; #DEBT ; #METH ;,Dev ; ProjectMngr ; ITMngr ;,(X / Y ) * 100,Formalisés = 100 ; prévus = 75 ; Identifiés = 50 ; Non = 0,100,Medium,Periodic,Chaque élément référencé dans le Dossier Technique porte une information de fin de vie,,,,,,
27,ARCHITECTURE,ARCH-9.01,B,B,B,Définir les objectifs NR du projet et leur adéquation dans le contexte opérationnel,L'ensemble des équipements techniques utilisés par le service sont-ils identifiés?,"La conception, le développement, les tests, la production, la gestion de disponibilité sont des étapes qui vont utiliser des ressources techniques. Chacune de ces ressources doit être identifiée et ses caractéristiques répertoriées. ",Acquisition,Quels sont les équipements qui devront faire l'objet d'une acquisition ou d'un remplacement ?,,,,,RECO,*,,INCONTOURNABLE,#PERF ; #VOL ;  #MAINT ;  #DEBT ; #GOV ; #BUY ; #FIN  ; #OBSO,Dev ; ProjectMngr ; ITMngr ;,(X / Y ) * 100,Formalisés = 100 ; prévus = 75 ; Identifiés = 50 ; Non = 0,100,High,OnUpdate,Une gestion de configuration est mise en place,,,Y,#PROCESS,**,Outils Config Management
