,,,,,Etapes Cycle de Vie,N/A,Acquisition,Conception,Réalisation,Déploiement,Administration,Utilisation,Maintenance,Fin de Vie,Revalorisation,,,,,,,,,,,,,,,,
STRATEGIE,STR-1.06,B,C,C,Définir et valider les besoins et les enjeux du projet afin d'anticiper les impacts,Les matériels utilisateurs sont-ils identifiés ?,"Certaines utilisations peuvent être contraintes par les équipements des utilisateurs, pour permettre un choix plus large d'équipements même anciens et limiter les renouvellements de matériels. Il est important de connaître les profils de matériel que les utilisateurs vont pouvoir employer, aujourd'hui et demain.",Conception,Chaque USE CASE est-il associé à la liste des équipements matériels nécessaires à sa mise en oeuvre ?,,,,,RECO,**,,,#USE ;  #VALUE ; #OBSO,Dev ; Designer ; ProjectMngr ; ProductOwner,,,,High,OnUpdate,Dossier Technique,,,,,,
STRATEGIE,STR-1.07,A,B,A,Définir et valider les besoins et les enjeux du projet afin d'anticiper les impacts,"L’ensemble des produits et services sont-ils indispensables en ligne ? 
","Certaines fonctionnalités sont proposées en mode connecté alors qu'aucune donnée distante ou aucun processus de calcul lourd n'est requis, dans ces cas une solution locale (hors ligne) est efficace d'un point de vue environnemental avec moins de circulation d'information et moins d'utilisation des réseaux. En revanche, si le mode hors ligne nécessite des duplications d'informations, il ne se justifie que si les accès réseaux sont intermittents et posent des difficultés d'utilisation du service.",Conception,"Le produit/service peut-il être envisagé sans être déployé en ligne, avec un résultat similaire pour l'entreprise ?",,,,,RECO,*,,,#USE ; #COM ; #VALUE,ProductOwner ;,(X / Y ) * 100,Abordée = 100 ; Partielle = 50 ; Non traitée = 0,100,Medium,Once,"La fiche de cadrage projet précise les produits et services associés et leurs modes d'opération (en ligne, en personne, ...)",,,,,,
STRATEGIE,STR-1.08,A,B,A,Définir et valider les besoins et les enjeux du projet afin d'anticiper les impacts,"Est ce que je peux proposer de couvrir les besoins autrement, en évitant le digital avec un moyen plus respectueux de l’environnement ? ","Certains processus manuels simples peuvent être une alternative au tout numérique, même au sein d'un service numérique. Dans le cadre d'un service numérique la tendance naturelle est d'y intégrer toutes les étapes sans se poser la question de l'efficacité environnementale.",Conception,"Le produit/service peut-il être envisagé sans être numérique, avec un résultat similaire pour l'entreprise ?",,,,,RECO,*,,,#USE ; #COM ; #VALUE,ProjectMngr ; ProductOwner ;,(X / Y ) * 100,Questions formalisées,Besoins clients,Medium,Once,La fiche de cadrage projet précise pour chaque besoin une évaluation d'impact,,,,,,
STRATEGIE,STR-1.09,A,B,B,Définir et valider les besoins et les enjeux du projet afin d'anticiper les impacts,"La solution retenue est-elle la plus respectueuse de l'environnement? Sinon, ce choix est-il justifié par le besoin utilisateur?","Le nouveau service peut apporter une meilleure efficacité environnementale, mais il peut aussi participer à la création de dette environnementale supplémentaire, l'ensemble des 3 dimensions (3P) doivent pouvoir montrer un bénéfice sinon le positionnement du service peut être à revoir.",Conception,Avez-vous exprimé des scénarios alternatifs et évalué l'impact NR de chacun ?,Le choix final est-il guidé par la performance NR ?,,,,RECO,**,,,#USE ;  #COM ; #VALUE,Dev ; Designer ; ProjectMngr ; ProductOwner,(X / Y ) * 100,Oui = 100 ; Partiel = 50 ; Non = 0,100,Medium,OnUpdate,Une analyse d'impact est définie pour permettre d'arbitrer les impacts vis à vis de la couverture des besoins,,,,,,
STRATEGIE,STR-1.C03,A,B,A,Définir et valider les besoins et les enjeux du projet afin d'anticiper les impacts,Le modèle économique de ce service prend-il en compte l'éco-conception ?,"Lorsque le NR est en dehors du modèle économique il est difficile de concilier l'activité économique et les impacts du NR, et cela tourne le plus souvent à des arbitrages où la prosperityabilité immédiate est privilégiée face aux 3P",Conception,Est-ce que l'adaptation du modèle économique est envisagée pour prendre en compte l'éco-conception?,,,,,CONSEIL,N/A,,,,,,,,,,,,,,,,
STRATEGIE,STR-1.C04,B,B,B,Définir et valider les besoins et les enjeux du projet afin d'anticiper les impacts,"Les aspects performances, accessibilité, sécurité et sobriété sont-ils pris en compte ensemble ?","Dans la majorité des cas, une meilleure performance technique est aussi synonyme d'une meilleure efficacité environnementale, la consommation de ressources de calcul est plus faible, les volumes de transferts sont plus restreints, les algorithmes sont plus efficaces. ",Conception,Quelles règles de décision sont précisées pour optimiser mon service numérique en mixant sobriété et performance ?,,,,,CONSEIL,N/A,,,,,,,,,,,,,,,,
STRATEGIE,STR-1.10,B,B,A,Définir et valider les besoins et les enjeux du projet afin d'anticiper les impacts,Les gains NR sont-ils évalués en préalable du projet ?,"Dans le cas de refonte de services, il est plus simple d'estimer les gains attendus par le nouveau service en référence au service actuel. Pour un service nouveau, l'étude préalable déterminera des hypothèses de gains qui devront être affinées au cours du projet. L'affichage des gains attendus est un marqueur important pour convaincre l'ensemble des acteurs du bien fondé de la démarche",Conception,Avez-vous chiffré le bénéfice environnemental du projet en faisant de l’éco-conception ou en décidant d'éviter le numérique ?,,,,,RECO,**,,,#USE ; #MAINT ; #COM ; #VALUE ; #DEBT ; #METH ;,ProjectMngr ; ProductOwner ; Manager ; ITMngr,(X / Y ) * 100,Formalisés = 100 ; prévus = 75 ; Identifiés = 50 ; Non = 0,100,Medium,Once,Analyse d'impact,,,,,,
STRATEGIE,STR-1.C05,B,B,B,Définir et valider les besoins et les enjeux du projet afin d'anticiper les impacts,Le NR est-il inscrit dans la stratégie et les objectifs de l'organisation ?,"Afin de pouvoir installer une démarche NR dans les projets, il est indispensable que tous les décideurs adhèrent à cette démarche, c'est nécessairement le cas si le NR est inscrit dans la stratégie de l'organisation. Dans le cas contraire, il sera difficile de mener une démarche NR, car en permanence il faudra trouver des justifications pour convaincre de poursuivre. Le projet en serait impacté donc perçu comme moins efficace ""à cause du NR""",Conception,Est-ce que l'ensemble des instances de décision sont partantes pour développer un service numérique éco-conçu dans votre organisation à ce moment-là ? La solidité financière de l'organisation permet-elle d'innover ? ,,,,,CONSEIL,N/A,,,,,,,,,,,,,,,,
STRATEGIE,STR-1.C06,B,B,B,Définir et valider les besoins et les enjeux du projet afin d'anticiper les impacts,"L'attente du marché, clients, fournisseurs, partenaires est-elle en phase avec une démarche NR ?","Les différents secteurs d'activité présentent des sensibilités variables face au NR, et à périmètre identique certaines organisations ou catégories de parties prenantes ont des aspirations variables. Le fait de s'engager dans une démarche NR et de l'exposer est plus simple si cela correspond à une préoccupation des acteurs concernés. La communication et l'expression de la démarche NR sera quelque peu différente en fonction de la maturité du marché cible.",Conception,Avez-vous réalisé une étude de marché pour valider les attentes des parties prenantes vis à vis du NR ?,"Avez-vous anticipé l'évolution de ces attentes, pour proposer un service NR même si les demandes ne sont pas complètement formalisées au début du projet, mais évoluent au cours de la vie du service ?",,,,CONSEIL,N/A,,,,,,,,,,,,,,,,
STRATEGIE,STR-1.C07,B,B,A,Définir et valider les besoins et les enjeux du projet afin d'anticiper les impacts,Les enjeux et bénéfices attendus sont-ils bien identifiés ?,"Pour capitaliser sur l'innovation apportée par la prise en compte du NR il est important de déterminer les bénéfices de la démarche, que ce soit d'un point de vue financier, ou d'avantage compétitif ou de notoriété ou de capacité de communication et reconnaissance d'être un acteur engagé pour réduire les impacts du numérique.",Conception,"Avez-vous chiffré les gains financiers (réduction des coûts, augmentation CA) et non financiers (communication, environnement, innovation, se différencier de la concurrence) ?",,,,,CONSEIL,N/A,,,,,,,,,,,,,,,,
STRATEGIE,STR-1.C08,B,A,B,Définir et valider les besoins et les enjeux du projet afin d'anticiper les impacts,"L'organisation est-elle en mesure de faire progresser son niveau de maturité vis à vis de l’éco conception et de son périmètre, avec la réalisation de projets NR ?",La démarche NR doit être présente dans toutes les étapes de réalisation et cela passe nécessairement par une culture NR au sein de l'organisation. La maturité augmentera progressivement avec les pratiques.,Conception,Quelle proportion des acteurs du projet est sensibilisée ou formée au NR ?,"Les processus, outils et méthodes utilisés ont-ils été adaptés pour prendre en compte les enjeux NR ?",,,,CONSEIL,N/A,,,,,,,,,,,,,,,,
STRATEGIE,STR-1.C09,B,B,B,Définir et valider les besoins et les enjeux du projet afin d'anticiper les impacts,Un audit de l'existant est-il disponible pour en améliorer les performances NR ?,Les principaux travers d'un service existant par rapport aux 3P peut utilement servir de socle pour déterminer les axes de performance NR à améliorer avec des quick wins et des adaptations plus profondes.,Revalorisation,Avez-vous besoin de réaliser un audit de l’existant afin d'améliorer le projet ou devez-vous repartir à zéro ?,,,,,CONSEIL,N/A,,,,,,,,,,,,,,,,
STRATEGIE,STR-1.11,B,B,A,Définir et valider les besoins et les enjeux du projet afin d'anticiper les impacts,Les budgets financiers pour les aspects NR du projet sont-ils évalués ?,"Le NR va générer une nouvelle catégorie d'exigences qui devront être prises en compte dans les démarches projet, et demanderont des lignes budgétaires clairement identifiées. Bien que souvent les projets NR soient plus efficaces, moins ""boulimiques"" de technologies ""à la mode"" et de fonctionnalités inutiles, les charges projet en final sont diminuées. ",Acquisition,Est ce que j’ai les moyens matériels ? Mes équipements sont-ils à renouveler ou à acheter et quelle sera la manière la plus écologique de le faire ? Les moyens humains sont-ils identifiés pour chaque phase du projet ? Les moyens financiers pour réaliser le projet en éco-conception sont-ils alloués ? ,,,,,RECO,*,,,#COM ; #VALUE ; #GOV ; #FIN ;,Manager ; ITMngr,(X / Y ) * 100,Formalisés = 100 ; prévus = 75 ; Identifiés = 50 ; Non = 0,100,High,Once,Affectation des budgets,,,,,,
STRATEGIE,STR-1.12,B,C,B,Définir et valider les besoins et les enjeux du projet afin d'anticiper les impacts,"Des équipements matériels sont-ils à renouveler ou à acheter pour le projet, les équipements supplémentaires nécessaires sont-ils mis à disposition en gardant en tête les principes du NR ?","Le lancement de nouveaux projets est souvent l'occasion de renouveler ou compléter les équipements techniques. Dans le principe de la démarche NR, il serait plutôt l'occasion de challenger une meilleure utilisation des équipements disponibles et mettre en place toutes les solutions possibles pour les préserver.",Acquisition,La politique d'achat/renouvellement de matériels prend-elle en compte l'efficacité NR ?,,,,,RECO,*,,,#BUY ; #FIN ; #OBSO,ProjectMngr ; ProductOwner ;  ITMngr,(X / Y ) * 100,Formalisés = 100 ; prévus = 75 ; Identifiés = 50 ; Non = 0,100,High,Once,Gestion de configuration,,,,,,
STRATEGIE,STR-1.13,A,A,B,Définir et valider les besoins et les enjeux du projet afin d'anticiper les impacts,Mes ressources humaines (Identifiées pour chaque phase) sont-elles disponibles ?,L'efficacité de la démarche NR ne peut être atteinte sans la connaissance des enjeux NR par les personnes qui prendront part au projet.,N/A,Les sensibilisations/formations NR nécessaires sont-elles budgetées et planifiées ?,,,,,RECO,*,,,#COM ; #VALUE ; #METH ; #HR ;,ProjectMngr ; RSE/NR ; HR ; ITMngr,(X / Y ) * 100,Formalisés = 100 ; Identifiés = 50 ; Non = 0,100,High,Once,La fiche de cadrage projet précise les profils de tous les membres de l'équipe.,,,,,,
STRATEGIE,STR-1.C10,B,B,B,Définir et valider les besoins et les enjeux du projet afin d'anticiper les impacts,Les sponsors et éventuelles résistances de la démarche NR sont-ils identifiés ?,"Lorsque la démarche NR est peu installée dans le modèle opérationnel de l'organisation, les luttes d'influence vont parfois décider de l'avenir du NR. Pour faciliter l'adoption, les freins doivent être identifiés et les arguments pour vaincre les résistances doivent être préparés en avance de phase et mis à disposition des sponsors de cette démarche.",N/A,"Avez-vous anticipé les résistances en exposant les arguments par rapport aux freins à la mise en place de la démarche : obstacles prévisibles, motivation, mauvaise communication interne, management peu impliqué, autres projets lourds et prioritaires, investissements lourds et récents, réglementation,... ?",,,,,CONSEIL,N/A,,,,,,,,,,,,,,,,
STRATEGIE,STR-1.14,B,A,B,Définir et valider les besoins et les enjeux du projet afin d'anticiper les impacts,"Les objectifs NR sont-ils exposés clairement et partagés par toutes les parties prenantes, internes ou externes à l'organisation ?","Plusieurs acteurs, y compris externes à l'organisation, peuvent être impliqués dans le projet. La perméabilité de la démarche NR vers toutes les parties prenantes peut permettre d'identifier / activer des leviers que des acteurs n'auraient peut-être pas spontanément exprimés.",Conception,"Avez-vous mis en place une communication formelle des objectifs NR, accessible à tous les acteurs ?",La constitution des objectifs NR est-elle documentée pour permettre son exposition aux acteurs impliqués ?,,,,RECO,*,,,#COM ; #GOV ; #HR,ProjectMngr ; Manager ; RSE/NR ; HR ; ITMngr,(X / Y ) * 100,Informations diffusées,Parties prenantes,High,Once,Fiche projet,,,,,,
STRATEGIE,STR-1.15,B,B,A,Définir et valider les besoins et les enjeux du projet afin d'anticiper les impacts,Les délais de mise en oeuvre sont-ils envisagés ?,"La gestion des délais projet est toujours au centre des préoccupations. Pour que le NR ne soit pas l'élément pointé du doigt il faut que les délais (en plus ou en moins) liés à cette démarche soient exprimés. Le délai projet n'intervient qu'une fois dans la vie du service, le gain ou la dette NR du projet va se multiplier tout au long du cycle de vie du projet.",Conception,Avez-vous chiffré les bénéfices/sur-coûts de la démarche NR sur le planning projet ?,,,,,RECO,*,,,#METH ;,ProjectMngr ; ITMngr ;,(X / Y ) * 100,Formalisés = 100 ; Identifiés = 50 ; Non = 0,100,Medium,Once,Fiche de cadrage projet,,,,,,
STRATEGIE,STR-1.16,A,A,A,Définir et valider les besoins et les enjeux du projet afin d'anticiper les impacts,Le besoin couvert par le service numérique s'inscrit-il dans l'un des objectifs de développement durable?,"Le questionnement de l'utilité du service numérique par rapport à l'un ou plusieurs des 17 ODD est capital, afin d'éviter la production de services numériques qui ne soient pas porteurs de valeurs.",Conception,Le service répond-t-il à au moins l'un des Objectifs de Développement Durable (ODD) ? ,,,,,RECO,*,,INCONTOURNABLE,#USE ; #COM ; #VALUE ; #METH ; #GOV ;,ProjectMngr ; ProductOwner ; RSE/NR ;,(X / Y ) * 100,Au moins 1 ODD couvert = 100 ; 0 ODD = 0,100,High,Once,Fiche de cadrage projet,,,Y,#INSTRUMENTATION,***,Tags ODD dans le document de cardage
STRATEGIE,STR-2,,,,"Prévoir, préparer et valider les disponibilités des ressources humaines du Numérique Responsable",,,,,,,,,,,ODD#12,,,,,,,,,,,,,,,
STRATEGIE,STR-2.01,A,A,B,"Prévoir, préparer et valider les disponibilités des ressources humaines du Numérique Responsable",A-t-on les personnes avec les compétences techniques les plus pertinentes pour chaque élément du projet ? ,"La démarche NR requiert avant tout une pratique métier affirmée. Il est difficile d'optimiser des éléments techniques lorsque la pratique n'est pas suffisamment ancrée. A l'inverse les optimisations NR sont parfois ""contre-intuitives"" et une bonne maîtrise du NR et des 3P est indispensable.",N/A,Combien d'acteurs dans chaque étape du projet ont une formation NR ?,,,,,RECO,*,,,#METH ; #HR ;,ProjectMngr ; Manager ; RSE/NR ; HR ; ITMngr,(X / Y ) * 100,Formés au NR,Membre équipe,High,Periodic,"La fiche de cadrage projet précise pour chaque profil des membres de l'équipe, les compétences nécessaires et les besoins de ressources externes",,,,,,
STRATEGIE,STR-2.02,A,A,B,"Prévoir, préparer et valider les disponibilités des ressources humaines du Numérique Responsable",Les référents NR sont-ils listés et la liste communiquée aux acteurs du projet?,"Le NR adresse un très large périmètre, qu'il est difficile d'appréhender complètement dans chaque phase projet. Il est indispensable que les professionnels intervenant sur le projet puissent s'appuyer à tous moments sur des personnes référence pour les assister dans les meilleures pratiques à déployer.",N/A,Quels sont les référents officiels du projet en terme d'éco-conception ? en interne ou en externe ?,,,,,RECO,*,,,#COM ; #METH ; #HR,ProjectMngr ; Manager ; RSE/NR ; HR ; ITMngr,(X / Y ) * 100,Formalisés = 100 ; Identifiés = 50 ; Non = 0,100,High,Once,La fiche de cadrage projet désigne le référent NR du projet.,,,,,,
STRATEGIE,STR-2.03,A,A,A,"Prévoir, préparer et valider les disponibilités des ressources humaines du Numérique Responsable",Une stratégie pour sensibiliser les collègues/partenaires/clients au NR est-elle mise en place avec des étapes permettant de faire progresser les pratiques en continu ?,"L'adoption du NR est une démarche globale, qui ne doit pas être freinée par la capacité de tout faire tout de suite, elle s'inscrit dans une progression qui s'installe au fur et à mesure des pratiques.",N/A,Le plan de formation NR est-il mis en place et suivi ?,,,,,RECO,*,,,#METH ; #GOV,ProjectMngr ; Manager ; RSE/NR ; HR ; ITMngr,(X / Y ) * 100,Formalisés = 100 ; Identifiés = 50 ; Non = 0,100,High,Periodic,Le plan de formation intègre les diffusions de sensibilisations et formations aux aspects NR.,,,,,,
STRATEGIE,STR-2.04,A,A,B,"Prévoir, préparer et valider les disponibilités des ressources humaines du Numérique Responsable","Les parties prenantes internes et externes sont-elles sensibilisées, voire formées/certifiées au NR ?","Chaque partie prenante à besoin d'une information efficace sur son domaine d'expertise et d'action, seul un plan de formation adapté peut apporter cette efficacité en amont des projets",N/A,Quel budget formation est alloué par type de profil ?,,,,,RECO,*,,INCONTOURNABLE,#COM ; #METH,ProjectMngr ; Manager ; RSE/NR ; HR ; ITMngr,(X / Y ) * 100,Sensibilisations NR,Membre équipe,High,Periodic,Le plan de formation intègre les diffusions de sensibilisations et formations aux aspects NR. La communication externe propage les enjeux environnementaux du numérique.,,,,,,
STRATEGIE,STR-2.C01,B,A,B,"Prévoir, préparer et valider les disponibilités des ressources humaines du Numérique Responsable","Les équipes ont-elle été questionnées en amont du lancement du projet, l'impact a-t-il été évalué et communiqué?","Lorsque le NR est intégré dans la démarche projet, tous les éléments d'optimisation des projets sont mis en oeuvre, notamment les adaptations des processus avec la prise en compte des retours d'expérience sont naturels et totalement adaptés au NR",Revalorisation,"Les retours des équipes sont-ils revus et discutés pour améliorer les processus NR ,",,,,,CONSEIL,N/A,,,,,,,,,,,,,,,,
STRATEGIE,STR-2.C02,B,A,B,"Prévoir, préparer et valider les disponibilités des ressources humaines du Numérique Responsable",Chaque partie-prenante interne et externe a-t-elle la latitude de prendre des décisions pouvant influer sur l'impact du Numérique Responsable ?,"Les décisions projets qui peuvent avoir un impact important sur l'environnement doivent pouvoir être prises rapidement. Pour cela il est indispensable de définir l'espace de décision de chaque acteur et les mécanismes de validation. En l'absence de cette clarification, des décisions erratiques, même pour de bonnes raisons, pourraient intervenir et décrédibiliser la démarche NR, ou entraîner une forme d'auto-censure limitant les bénéfices NR",N/A,Le circuit et l'autonomie de décision ayant un impact NR est-il défini pour chaque acteur ?,,,,,CONSEIL,N/A,,,,,,,,,,,,,,,,
STRATEGIE,STR-2.C03,A,B,A,"Prévoir, préparer et valider les disponibilités des ressources humaines du Numérique Responsable",Mes cibles peuvent-elles adhérer à ma démarche NR et de quelle manière ? ,"La démarche NR est mise en place pour le bien de toute la communauté, il serait dommage que cette prise en compte reste confidentielle et ne participe pas à la prise de conscience collective de l'impact des services numériques",Revalorisation,Avez-vous prévu un plan de communication pour évangéliser sur les aspects NR ?,,,,,CONSEIL,N/A,,,,,,,,,,,,,,,,
STRATEGIE,STR-2.05,B,B,A,"Prévoir, préparer et valider les disponibilités des ressources humaines du Numérique Responsable",Le projet avec une démarche NR va t-il réellement répondre aux besoins de mes clients ?,Une démarche NR appliquée sur un service numérique peut dans certains cas générer un peu d'inconfort / de disruption pour les utilisateurs dans leurs pratiques. Un mécanisme d'accompagnement ou de communication peut aisément lever ces points. Et apporter une valorisation importante.,Conception,Mesurez-vous les satisfactions clients sur les aspects NR ?,,,,,RECO,*,,,#USE ; #VALUE,ProjectMngr ; Manager ; RSE/NR ; ITMngr,(X / Y ) * 100,Abordée = 100 ; Partielle = 50 ; Non traitée = 0,100,Medium,Once,Fiche de cadrage projet,,,,,,
STRATEGIE,STR-2.C04,B,A,B,"Prévoir, préparer et valider les disponibilités des ressources humaines du Numérique Responsable",Les aspects Numérique Responsable sont-ils propagés et entretenus sur l'ensemble des acteurs ?,Obtenir et maintenir l'engagement des acteurs est un point important pour que le NR devienne la norme de fait.,Utilisation,Quelle est votre fréquence de communication NR pour chaque profil de partie prenante ?,,,,,CONSEIL,N/A,,,,,,,,,,,,,,,,
STRATEGIE,STR-3,,,,Déterminer et planifier la capacité de suivre et capitaliser sur les composantes Numérique Responsable des projets,,,,,,,,,,,ODD#12,,,,,,,,,,,,,,,
STRATEGIE,STR-3.01,A,C,B,Déterminer et planifier la capacité de suivre et capitaliser sur les composantes Numérique Responsable des projets,"Chacune des phases du cycle de vie (démarrage, maturité, arrêt) sont-elles identifiées avec des actions spécifiques ?",La démarche ACV est une base de la prise en compte du NR dans la conception des services numériques. Elle permet d'associer des actions à chaque étape du cycle de vie.,Revalorisation,Avez-vous listé toutes les actions associées au NR pour les différentes étapes projet ?,,,,,RECO,*,,,#USE ; #MAINT ; #COM ; #VALUE ; #DEBT ; #METH,Dev ; Designer ; ProjectMngr ; ProductOwner ; RSE/NR,(X / Y ) * 100,Formalisés = 100 ; Identifiés = 50 ; Non = 0,100,Low,OnUpdate,L'analyse d'impact détermne les actions de réduction des impacts avec les acteurs concernés,,,,,,
STRATEGIE,STR-3.02,A,B,B,Déterminer et planifier la capacité de suivre et capitaliser sur les composantes Numérique Responsable des projets,Les données ACV sont-elles réutilisées dans le cas d'une adaptation d'un service existant ?,Les analyses ACV peuvent être réalisées sur des services existants afin de les rendre plus efficaces dans le cas d'une refonte ou adaptation d'un service existant,Revalorisation,Avez-vous mis à disposition des équipes projet les ACV précédentes ?,L'ACV de ce projet est-elle rendue disponible pour d'autres projets ?,,,,RECO,**,,,#USE ; #MAINT ; #COM ; #VALUE ; #DEBT ; #METH,Dev ; Designer ; ProjectMngr ; ProductOwner ; RSE/NR,(X / Y ) * 100,Formalisés = 100 ; Identifiés = 50 ; Non = 0,100,Low,OnUpdate,"Une ACV minimale (""screening"") est disponible pour le service existant",,,,,,
